trend_id,date,collected_at,topic,description,category,sentiment_score,keyword_frequency,keywords,source_count,sources,hn_points,rank,recurred_next_day
428a26065214,2026-07-27,2026-07-27 06:00:00+00:00,Right-to-repair legislation,"Right-to-repair legislation gains traction, with early users reporting impressive results and rapid growth.",Policy,0.807,10,right-to-repair|legislation|parts|consumers,3,arstechnica|hackernews|reuters_tech,0,8,1
293b848a27a8,2026-07-27,2026-07-27 06:00:00+00:00,Multimodal video models,"Multimodal video models sparks concern after critics warn of serious risks, delays and mounting costs.",AI,-0.612,8,video|multimodal|generation|diffusion,3,arstechnica|hackernews|reuters_tech,0,9,0
b9e72c0cd280,2026-07-27,2026-07-27 06:00:00+00:00,Data-centre energy caps,"Data-centre energy caps sparks concern after critics warn of serious risks, delays and mounting costs.",Policy,-0.44,7,data-centre|energy|grid|regulation,2,reuters_tech|theverge,0,10,0
e2e9744243b8,2026-07-28,2026-07-28 06:00:00+00:00,Mega-round for robotics startup,"Mega-round for robotics startup gains traction, with early users reporting impressive results and rapid growth.",Startups,0.807,15,robotics|funding|humanoid|series-c,5,arstechnica|hackernews|reuters_tech|techcrunch|theverge,0,1,1
45d4ed6ab12a,2026-07-28,2026-07-28 06:00:00+00:00,Super-app payments push,Super-app payments push: analysts praise strong momentum as adoption accelerates across the industry.,Apps,0.784,8,super-app|payments|wallet|fintech,4,arstechnica|reuters_tech|techcrunch|wired,0,2,1
e939cba725c0,2026-07-28,2026-07-28 06:00:00+00:00,Unicorn down-round,Unicorn down-round wins broad support after a successful rollout and encouraging benchmarks.,Startups,0.927,12,down-round|valuation|unicorn|funding,3,arstechnica|techcrunch|theverge,0,3,0
d6000d647bf9,2026-07-28,2026-07-28 06:00:00+00:00,Export controls on GPUs,"Export controls on GPUs faces backlash amid reports of failures, security worries and angry customers.",Chips,-0.772,11,export-controls|gpu|sanctions|china,3,hackernews|techcrunch|theverge,0,4,1
eeb9f7a2c479,2026-07-28,2026-07-28 06:00:00+00:00,Fintech layoffs wave,"Fintech layoffs wave faces backlash amid reports of failures, security worries and angry customers.",Startups,-0.772,10,layoffs|fintech|restructuring,3,arstechnica|reuters_tech|theverge,0,5,1
ea74c26eb981,2026-07-28,2026-07-28 06:00:00+00:00,Messaging app encryption update,"Messaging app encryption update faces backlash amid reports of failures, security worries and angry customers.",Apps,-0.772,8,messaging|encryption|e2ee|privacy,3,techcrunch|theverge|wired,0,6,0
83c6c65a52a0,2026-07-28,2026-07-28 06:00:00+00:00,Climate-tech accelerator cohort,Climate-tech accelerator cohort wins broad support after a successful rollout and encouraging benchmarks.,Startups,0.927,7,climate-tech|accelerator|cohort|seed,3,arstechnica|hackernews|reuters_tech,0,7,0
6411f366fb8d,2026-07-28,2026-07-28 06:00:00+00:00,Zero-day in VPN appliances,Zero-day in VPN appliances moves forward as vendors publish updated documentation and roadmaps.,Cybersecurity,0.0,8,zero-day|vpn|patch|exploit,2,theverge|wired,0,8,0
e327f6655ca3,2026-07-28,2026-07-28 06:00:00+00:00,Right-to-repair legislation,Right-to-repair legislation moves forward as vendors publish updated documentation and roadmaps.,Policy,0.0,7,right-to-repair|legislation|parts|consumers,2,arstechnica|hackernews,0,9,1
d2b080fb276a,2026-07-28,2026-07-28 06:00:00+00:00,Age-verification mandates,Age-verification mandates moves forward as vendors publish updated documentation and roadmaps.,Policy,0.0,3,age-verification|mandate|platforms|privacy,1,reuters_tech,0,10,0
d55d2032f450,2026-07-29,2026-07-29 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave moves forward as vendors publish updated documentation and roadmaps.,Startups,0.0,20,layoffs|fintech|restructuring,5,arstechnica|hackernews|reuters_tech|techcrunch|wired,0,1,0
ef53aa022943,2026-07-29,2026-07-29 06:00:00+00:00,Right-to-repair legislation,Right-to-repair legislation wins broad support after a successful rollout and encouraging benchmarks.,Policy,0.927,16,right-to-repair|legislation|parts|consumers,4,hackernews|reuters_tech|techcrunch|theverge,0,2,1
91c1b9ddf761,2026-07-29,2026-07-29 06:00:00+00:00,Passkey adoption surge,"Passkey adoption surge sparks concern after critics warn of serious risks, delays and mounting costs.",Cybersecurity,-0.612,15,passkeys|fido|passwordless,4,arstechnica|reuters_tech|theverge|wired,0,3,1
087d36949d7a,2026-07-29,2026-07-29 06:00:00+00:00,Smart glasses launch,"Smart glasses launch sparks concern after critics warn of serious risks, delays and mounting costs.",Gadgets,-0.318,14,smart-glasses|wearable|ar|display,4,arstechnica|hackernews|theverge|wired,0,4,0
348073a5f9aa,2026-07-29,2026-07-29 06:00:00+00:00,Small language models,"Small language models: frustrated users and regulators criticise a troubled, poorly handled rollout.",AI,-0.852,9,slm|small-model|efficiency|distillation,4,arstechnica|hackernews|techcrunch|wired,0,5,1
6da7a20b90ff,2026-07-29,2026-07-29 06:00:00+00:00,Super-app payments push,"Super-app payments push: frustrated users and regulators criticise a troubled, poorly handled rollout.",Apps,-0.852,9,super-app|payments|wallet|fintech,3,reuters_tech|techcrunch|wired,0,6,0
773d26d07c8e,2026-07-29,2026-07-29 06:00:00+00:00,Mega-round for robotics startup,Mega-round for robotics startup moves forward as vendors publish updated documentation and roadmaps.,Startups,0.0,8,robotics|funding|humanoid|series-c,3,arstechnica|hackernews|reuters_tech,0,7,0
bcfd7af993a2,2026-07-29,2026-07-29 06:00:00+00:00,Export controls on GPUs,Export controls on GPUs: companies outline plans and timelines while observers wait for more detail.,Chips,0.0,8,export-controls|gpu|sanctions|china,3,arstechnica|reuters_tech|techcrunch,0,8,0
3e392848617c,2026-07-29,2026-07-29 06:00:00+00:00,Short-video algorithm changes,"Short-video algorithm changes gains traction, with early users reporting impressive results and rapid growth.",Apps,0.807,8,short-video|algorithm|feed|creators,2,arstechnica|theverge,0,9,1
dffc7e7d63a0,2026-07-29,2026-07-29 06:00:00+00:00,On-device LLM inference,On-device LLM inference is drawing coverage this week as several outlets report on the latest developments.,AI,0.0,8,llm|on-device|inference|npu|edge,2,arstechnica|theverge,0,10,0
8e3b6e4ccccd,2026-07-30,2026-07-30 06:00:00+00:00,Data-centre energy caps,Data-centre energy caps moves forward as vendors publish updated documentation and roadmaps.,Policy,0.273,17,data-centre|energy|grid|regulation,5,arstechnica|hackernews|reuters_tech|techcrunch|wired,0,1,1
e2919f2a7ac6,2026-07-30,2026-07-30 06:00:00+00:00,Small language models,Small language models is drawing coverage this week as several outlets report on the latest developments.,AI,0.0,9,slm|small-model|efficiency|distillation,4,arstechnica|reuters_tech|techcrunch|theverge,0,2,1
fb62ca8f6ca3,2026-07-30,2026-07-30 06:00:00+00:00,Deepfake fraud warnings,"Deepfake fraud warnings: frustrated users and regulators criticise a troubled, poorly handled rollout.",Cybersecurity,-0.936,9,deepfake|fraud|voice|scam,4,arstechnica|hackernews|reuters_tech|techcrunch,0,3,1
35c39ab3a67c,2026-07-30,2026-07-30 06:00:00+00:00,AI in customer support,"AI in customer support faces backlash amid reports of failures, security worries and angry customers.",AI,-0.612,12,support|chatbot|automation|deflection,3,arstechnica|techcrunch|wired,0,4,0
9a3c320919d3,2026-07-30,2026-07-30 06:00:00+00:00,RISC-V laptop prototypes,"RISC-V laptop prototypes: frustrated users and regulators criticise a troubled, poorly handled rollout.",Chips,-0.852,11,risc-v|laptop|open-isa|prototype,3,arstechnica|reuters_tech|theverge,0,5,0
ba7cdc312e22,2026-07-30,2026-07-30 06:00:00+00:00,Passkey adoption surge,Passkey adoption surge moves forward as vendors publish updated documentation and roadmaps.,Cybersecurity,0.0,7,passkeys|fido|passwordless,3,reuters_tech|techcrunch|wired,0,6,0
2cbc09b743ec,2026-07-30,2026-07-30 06:00:00+00:00,Short-video algorithm changes,"Short-video algorithm changes: frustrated users and regulators criticise a troubled, poorly handled rollout.",Apps,-0.852,7,short-video|algorithm|feed|creators,3,hackernews|reuters_tech|theverge,0,7,1
efb18aa7583d,2026-07-30,2026-07-30 06:00:00+00:00,Right-to-repair legislation,Right-to-repair legislation wins broad support after a successful rollout and encouraging benchmarks.,Policy,0.927,6,right-to-repair|legislation|parts|consumers,3,arstechnica|theverge|wired,0,8,0
8e01d4b9349b,2026-07-30,2026-07-30 06:00:00+00:00,Memory price spike,Memory price spike: companies outline plans and timelines while observers wait for more detail.,Chips,0.0,6,dram|hbm|memory|prices,3,hackernews|reuters_tech|techcrunch,0,9,0
ef3ab8ef5b9c,2026-07-30,2026-07-30 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash: analysts praise strong momentum as adoption accelerates across the industry.,Apps,0.71,8,subscription|pricing|churn|backlash,2,reuters_tech|theverge,0,10,1
48fd0431de60,2026-07-31,2026-07-31 06:00:00+00:00,Deepfake fraud warnings,Deepfake fraud warnings: analysts praise strong momentum as adoption accelerates across the industry.,Cybersecurity,0.226,21,deepfake|fraud|voice|scam,5,arstechnica|hackernews|reuters_tech|techcrunch|theverge,0,1,1
daf9f06aa22a,2026-07-31,2026-07-31 06:00:00+00:00,Ransomware hits hospital chain,Ransomware hits hospital chain wins broad support after a successful rollout and encouraging benchmarks.,Cybersecurity,0.927,12,ransomware|hospital|breach|extortion|healthcare,5,arstechnica|hackernews|reuters_tech|techcrunch|theverge,0,2,1
eea1356e8c61,2026-07-31,2026-07-31 06:00:00+00:00,Data-centre energy caps,"Data-centre energy caps gains traction, with early users reporting impressive results and rapid growth.",Policy,0.856,17,data-centre|energy|grid|regulation,4,arstechnica|hackernews|reuters_tech|wired,0,3,1
c248662f7236,2026-07-31,2026-07-31 06:00:00+00:00,Supply-chain package attack,"Supply-chain package attack: frustrated users and regulators criticise a troubled, poorly handled rollout.",Cybersecurity,-0.908,14,supply-chain|npm|malware|package,4,arstechnica|techcrunch|theverge|wired,0,4,1
d1186a7f458c,2026-07-31,2026-07-31 06:00:00+00:00,Smartwatch health sensors,Smartwatch health sensors: companies outline plans and timelines while observers wait for more detail.,Gadgets,0.0,14,smartwatch|health|sensor|wearable,4,arstechnica|hackernews|reuters_tech|techcrunch,0,5,0
bf3ee7177dfc,2026-07-31,2026-07-31 06:00:00+00:00,Small language models,Small language models is drawing coverage this week as several outlets report on the latest developments.,AI,0.0,10,slm|small-model|efficiency|distillation,3,reuters_tech|techcrunch|wired,0,6,1
e5b2e27fb70f,2026-07-31,2026-07-31 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash wins broad support after a successful rollout and encouraging benchmarks.,Apps,0.912,7,subscription|pricing|churn|backlash,3,arstechnica|techcrunch|wired,0,7,1
e0b94d9a10a5,2026-07-31,2026-07-31 06:00:00+00:00,Short-video algorithm changes,Short-video algorithm changes wins broad support after a successful rollout and encouraging benchmarks.,Apps,0.927,6,short-video|algorithm|feed|creators,2,arstechnica|techcrunch,0,8,0
17727cc12b56,2026-07-31,2026-07-31 06:00:00+00:00,Sovereign cloud regions,"Sovereign cloud regions gains traction, with early users reporting impressive results and rapid growth.",Cloud,0.807,6,sovereign|region|data-residency|compliance,2,theverge|wired,0,9,0
c7c2f3e6042d,2026-07-31,2026-07-31 06:00:00+00:00,Smart glasses launch,"Smart glasses launch sparks concern after critics warn of serious risks, delays and mounting costs.",Gadgets,-0.318,5,smart-glasses|wearable|ar|display,2,arstechnica|wired,0,10,0
f9cd96885db5,2026-08-01,2026-08-01 06:00:00+00:00,Handheld gaming PC wave,Handheld gaming PC wave wins broad support after a successful rollout and encouraging benchmarks.,Gadgets,0.927,21,handheld|gaming|pc|battery,5,hackernews|reuters_tech|techcrunch|theverge|wired,0,1,1
7a4bb04492a1,2026-08-01,2026-08-01 06:00:00+00:00,Ransomware hits hospital chain,"Ransomware hits hospital chain sparks concern after critics warn of serious risks, delays and mounting costs.",Cybersecurity,-0.612,11,ransomware|hospital|breach|extortion|healthcare,3,reuters_tech|techcrunch|theverge,0,2,0
c33519eb60a3,2026-08-01,2026-08-01 06:00:00+00:00,Supply-chain package attack,"Supply-chain package attack: frustrated users and regulators criticise a troubled, poorly handled rollout.",Cybersecurity,-0.908,9,supply-chain|npm|malware|package,3,reuters_tech|theverge|wired,0,3,1
f35bd7abf70a,2026-08-01,2026-08-01 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash wins broad support after a successful rollout and encouraging benchmarks.,Apps,0.912,9,subscription|pricing|churn|backlash,3,arstechnica|hackernews|theverge,0,4,1
e59d8dbb06e0,2026-08-01,2026-08-01 06:00:00+00:00,Data-centre energy caps,Data-centre energy caps moves forward as vendors publish updated documentation and roadmaps.,Policy,0.273,7,data-centre|energy|grid|regulation,3,hackernews|reuters_tech|theverge,0,5,0
a53c3a4cb827,2026-08-01,2026-08-01 06:00:00+00:00,Small language models,Small language models: analysts praise strong momentum as adoption accelerates across the industry.,AI,0.784,6,slm|small-model|efficiency|distillation,3,arstechnica|hackernews|techcrunch,0,6,1
8aac42b19a5b,2026-08-01,2026-08-01 06:00:00+00:00,Unicorn down-round,Unicorn down-round: analysts praise strong momentum as adoption accelerates across the industry.,Startups,0.784,6,down-round|valuation|unicorn|funding,3,arstechnica|hackernews|theverge,0,7,1
e83de2bd3e91,2026-08-01,2026-08-01 06:00:00+00:00,Deepfake fraud warnings,Deepfake fraud warnings wins broad support after a successful rollout and encouraging benchmarks.,Cybersecurity,0.823,6,deepfake|fraud|voice|scam,2,arstechnica|reuters_tech,0,8,0
20a39ad19848,2026-08-01,2026-08-01 06:00:00+00:00,Multi-cloud outage postmortem,Multi-cloud outage postmortem wins broad support after a successful rollout and encouraging benchmarks.,Cloud,0.927,5,outage|postmortem|availability|region|sla,2,reuters_tech|wired,0,9,0
daee3426f0c6,2026-08-01,2026-08-01 06:00:00+00:00,RISC-V laptop prototypes,RISC-V laptop prototypes moves forward as vendors publish updated documentation and roadmaps.,Chips,0.0,3,risc-v|laptop|open-isa|prototype,1,arstechnica,0,10,0
593bce65393a,2026-08-02,2026-08-02 06:00:00+00:00,Supply-chain package attack,Supply-chain package attack moves forward as vendors publish updated documentation and roadmaps.,Cybersecurity,-0.477,9,supply-chain|npm|malware|package,4,arstechnica|hackernews|reuters_tech|wired,0,1,1
f732e27c9b44,2026-08-02,2026-08-02 06:00:00+00:00,Fintech layoffs wave,"Fintech layoffs wave gains traction, with early users reporting impressive results and rapid growth.",Startups,0.807,13,layoffs|fintech|restructuring,3,hackernews|techcrunch|theverge,0,2,1
50afac2d07a1,2026-08-02,2026-08-02 06:00:00+00:00,Retrieval-augmented search,Retrieval-augmented search wins broad support after a successful rollout and encouraging benchmarks.,AI,0.927,11,rag|retrieval|search|embeddings,3,arstechnica|hackernews|theverge,0,3,0
145c66086e9d,2026-08-02,2026-08-02 06:00:00+00:00,EU AI Act enforcement,EU AI Act enforcement: analysts praise strong momentum as adoption accelerates across the industry.,Policy,0.784,9,eu|ai-act|enforcement|compliance,3,reuters_tech|theverge|wired,0,4,1
6418c16ce0fc,2026-08-02,2026-08-02 06:00:00+00:00,Handheld gaming PC wave,Handheld gaming PC wave moves forward as vendors publish updated documentation and roadmaps.,Gadgets,0.0,7,handheld|gaming|pc|battery,3,hackernews|theverge|wired,0,5,0
acf2bdd21603,2026-08-02,2026-08-02 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash wins broad support after a successful rollout and encouraging benchmarks.,Apps,0.912,6,subscription|pricing|churn|backlash,3,reuters_tech|techcrunch|wired,0,6,0
ccd9c758cc36,2026-08-02,2026-08-02 06:00:00+00:00,Small language models,"Small language models gains traction, with early users reporting impressive results and rapid growth.",AI,0.807,6,slm|small-model|efficiency|distillation,3,arstechnica|hackernews|reuters_tech,0,7,1
72717f8baf8e,2026-08-02,2026-08-02 06:00:00+00:00,Unicorn down-round,Unicorn down-round: companies outline plans and timelines while observers wait for more detail.,Startups,0.0,7,down-round|valuation|unicorn|funding,2,reuters_tech|wired,0,8,1
95c26a7c40cf,2026-08-02,2026-08-02 06:00:00+00:00,Zero-day in VPN appliances,"Zero-day in VPN appliances gains traction, with early users reporting impressive results and rapid growth.",Cybersecurity,0.807,6,zero-day|vpn|patch|exploit,2,hackernews|theverge,0,9,0
554ff673276b,2026-08-02,2026-08-02 06:00:00+00:00,AI agent frameworks,AI agent frameworks moves forward as vendors publish updated documentation and roadmaps.,AI,0.0,5,agents|framework|orchestration|tools,2,reuters_tech|wired,0,10,0
5bbfcbea7c23,2026-08-03,2026-08-03 06:00:00+00:00,Antitrust ruling on search,Antitrust ruling on search: companies outline plans and timelines while observers wait for more detail.,Policy,0.0,22,antitrust|search|ruling,5,arstechnica|hackernews|techcrunch|theverge|wired,0,1,1
9e6289ee8a45,2026-08-03,2026-08-03 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave wins broad support after a successful rollout and encouraging benchmarks.,Startups,0.927,16,layoffs|fintech|restructuring,5,arstechnica|hackernews|techcrunch|theverge|wired,0,2,1
be7978862162,2026-08-03,2026-08-03 06:00:00+00:00,Export controls on GPUs,Export controls on GPUs: analysts praise strong momentum as adoption accelerates across the industry.,Chips,0.784,14,export-controls|gpu|sanctions|china,4,arstechnica|reuters_tech|techcrunch|wired,0,3,0
45351bbdc91b,2026-08-03,2026-08-03 06:00:00+00:00,Serverless GPU offerings,Serverless GPU offerings is drawing coverage this week as several outlets report on the latest developments.,Cloud,0.0,9,serverless|gpu|inference|scaling,4,arstechnica|hackernews|reuters_tech|theverge,0,4,1
b7612a641306,2026-08-03,2026-08-03 06:00:00+00:00,Unicorn down-round,"Unicorn down-round faces backlash amid reports of failures, security worries and angry customers.",Startups,-0.772,12,down-round|valuation|unicorn|funding,3,reuters_tech|theverge|wired,0,5,0
fae318077fa5,2026-08-03,2026-08-03 06:00:00+00:00,Foldable phone recall,Foldable phone recall is drawing coverage this week as several outlets report on the latest developments.,Gadgets,0.0,10,foldable|recall|hinge|display,3,hackernews|reuters_tech|theverge,0,6,1
121b3b27e79a,2026-08-03,2026-08-03 06:00:00+00:00,Supply-chain package attack,Supply-chain package attack: analysts praise strong momentum as adoption accelerates across the industry.,Cybersecurity,0.586,8,supply-chain|npm|malware|package,3,arstechnica|techcrunch|theverge,0,7,1
d52f09f5ab6b,2026-08-03,2026-08-03 06:00:00+00:00,EU AI Act enforcement,"EU AI Act enforcement gains traction, with early users reporting impressive results and rapid growth.",Policy,0.807,8,eu|ai-act|enforcement|compliance,3,techcrunch|theverge|wired,0,8,0
15bd7a3b9f0e,2026-08-03,2026-08-03 06:00:00+00:00,Super-app payments push,"Super-app payments push faces backlash amid reports of failures, security worries and angry customers.",Apps,-0.772,6,super-app|payments|wallet|fintech,3,reuters_tech|techcrunch|wired,0,9,1
5242dd216da9,2026-08-03,2026-08-03 06:00:00+00:00,Small language models,"Small language models sparks concern after critics warn of serious risks, delays and mounting costs.",AI,-0.612,5,slm|small-model|efficiency|distillation,2,arstechnica|techcrunch,0,10,0
3e907a64b3ba,2026-08-04,2026-08-04 06:00:00+00:00,Multi-cloud outage postmortem,Multi-cloud outage postmortem is drawing coverage this week as several outlets report on the latest developments.,Cloud,0.0,20,outage|postmortem|availability|region|sla,5,arstechnica|hackernews|reuters_tech|theverge|wired,0,1,1
902df20cd9b7,2026-08-04,2026-08-04 06:00:00+00:00,Antitrust ruling on search,"Antitrust ruling on search: frustrated users and regulators criticise a troubled, poorly handled rollout.",Policy,-0.852,15,antitrust|search|ruling,4,arstechnica|reuters_tech|techcrunch|theverge,0,2,0
ac8c73667719,2026-08-04,2026-08-04 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave: analysts praise strong momentum as adoption accelerates across the industry.,Startups,0.784,15,layoffs|fintech|restructuring,4,hackernews|techcrunch|theverge|wired,0,3,1
d1df812236de,2026-08-04,2026-08-04 06:00:00+00:00,Right-to-repair legislation,Right-to-repair legislation moves forward as vendors publish updated documentation and roadmaps.,Policy,0.0,12,right-to-repair|legislation|parts|consumers,4,hackernews|techcrunch|theverge|wired,0,4,1
23985f93e1aa,2026-08-04,2026-08-04 06:00:00+00:00,AI accelerator startup funding,"AI accelerator startup funding faces backlash amid reports of failures, security worries and angry customers.",Chips,-0.772,11,accelerator|funding|asic|inference,3,hackernews|techcrunch|wired,0,5,0
5a445c985cd5,2026-08-04,2026-08-04 06:00:00+00:00,Data-centre energy caps,Data-centre energy caps: analysts praise strong momentum as adoption accelerates across the industry.,Policy,0.84,10,data-centre|energy|grid|regulation,3,hackernews|reuters_tech|theverge,0,6,1
4648761e591e,2026-08-04,2026-08-04 06:00:00+00:00,Foldable phone recall,"Foldable phone recall sparks concern after critics warn of serious risks, delays and mounting costs.",Gadgets,-0.612,8,foldable|recall|hinge|display,3,hackernews|techcrunch|theverge,0,7,1
92e8f2c0b29b,2026-08-04,2026-08-04 06:00:00+00:00,Super-app payments push,"Super-app payments push sparks concern after critics warn of serious risks, delays and mounting costs.",Apps,-0.612,6,super-app|payments|wallet|fintech,3,arstechnica|hackernews|theverge,0,8,0
539752448aa4,2026-08-04,2026-08-04 06:00:00+00:00,Supply-chain package attack,Supply-chain package attack: analysts praise strong momentum as adoption accelerates across the industry.,Cybersecurity,0.586,7,supply-chain|npm|malware|package,2,hackernews|reuters_tech,0,9,0
f9bfdfb8a0e1,2026-08-04,2026-08-04 06:00:00+00:00,Serverless GPU offerings,Serverless GPU offerings: analysts praise strong momentum as adoption accelerates across the industry.,Cloud,0.784,4,serverless|gpu|inference|scaling,2,hackernews|techcrunch,0,10,0
0bd850614f53,2026-08-05,2026-08-05 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave wins broad support after a successful rollout and encouraging benchmarks.,Startups,0.927,17,layoffs|fintech|restructuring,4,arstechnica|reuters_tech|theverge|wired,0,1,1
2645df876275,2026-08-05,2026-08-05 06:00:00+00:00,Smart glasses launch,"Smart glasses launch sparks concern after critics warn of serious risks, delays and mounting costs.",Gadgets,-0.318,15,smart-glasses|wearable|ar|display,4,reuters_tech|techcrunch|theverge|wired,0,2,1
2aaca75400a4,2026-08-05,2026-08-05 06:00:00+00:00,Multi-cloud outage postmortem,Multi-cloud outage postmortem wins broad support after a successful rollout and encouraging benchmarks.,Cloud,0.927,12,outage|postmortem|availability|region|sla,4,arstechnica|hackernews|reuters_tech|techcrunch,0,3,1
a509fa52f56e,2026-08-05,2026-08-05 06:00:00+00:00,Export controls on GPUs,Export controls on GPUs wins broad support after a successful rollout and encouraging benchmarks.,Chips,0.927,11,export-controls|gpu|sanctions|china,4,arstechnica|reuters_tech|techcrunch|wired,0,4,1
b1fa76d32748,2026-08-05,2026-08-05 06:00:00+00:00,On-device LLM inference,On-device LLM inference: analysts praise strong momentum as adoption accelerates across the industry.,AI,0.784,9,llm|on-device|inference|npu|edge,4,arstechnica|hackernews|reuters_tech|theverge,0,5,1
a3c97cc0274c,2026-08-05,2026-08-05 06:00:00+00:00,AI coding assistants,"AI coding assistants faces backlash amid reports of failures, security worries and angry customers.",AI,-0.772,13,copilot|code|assistant|developer,3,reuters_tech|techcrunch|wired,0,6,0
ea946c1b341d,2026-08-05,2026-08-05 06:00:00+00:00,Small language models,Small language models: analysts praise strong momentum as adoption accelerates across the industry.,AI,0.784,8,slm|small-model|efficiency|distillation,3,reuters_tech|techcrunch|theverge,0,7,0
40ca8839e619,2026-08-05,2026-08-05 06:00:00+00:00,Foldable phone recall,"Foldable phone recall gains traction, with early users reporting impressive results and rapid growth.",Gadgets,0.807,7,foldable|recall|hinge|display,3,techcrunch|theverge|wired,0,8,0
